Price,Close,High,Low,Open,Volume,50_MA,200_MA,Daily_Return
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,,,
Date,,,,,,,,
2024-03-06,18017.5703125,18142.880859375,17941.640625,18083.509765625,5511370000,17370.7893359375,,0.00668801246307571
2024-03-07,18297.990234375,18337.94921875,18101.4296875,18161.73046875,5072790000,17401.2011328125,,0.015563692385340833
2024-03-08,18018.44921875,18416.73046875,17995.380859375,18312.7890625,5411790000,17424.0008984375,,-0.015277143120332903
2024-03-11,17951.689453125,18003.05078125,17873.330078125,17959.6796875,4917620000,17444.898671875,,-0.0037050783235845763
2024-03-12,18219.109375,18228.369140625,17919.330078125,18063.01953125,5100330000,17471.3114453125,,0.014896643715527791
2024-03-13,18068.470703125,18163.740234375,18030.400390625,18151.759765625,4839000000,17496.162265625,,-0.008268168809706156
2024-03-14,18014.810546875,18142.900390625,17913.630859375,18114.689453125,5450980000,17525.5796875,,-0.002969822799708144
2024-03-15,17808.25,17930.470703125,17764.990234375,17926.919921875,8261950000,17554.3748828125,,-0.011466151494489707
2024-03-18,17985.009765625,18124.3203125,17973.08984375,18024.240234375,5025040000,17588.4348828125,,0.009925723505959327
2024-03-19,18032.19921875,18039.8203125,17809.150390625,17902.51953125,4758740000,17622.9592578125,,0.0026238213790239495
2024-03-20,18240.109375,18249.119140625,18003.240234375,18067.69921875,5298380000,17654.7640625,,0.011529938956853059
2024-03-21,18320.380859375,18464.69921875,18317.099609375,18438.240234375,5134740000,17687.5976953125,,0.004400822534815552
2024-03-22,18339.439453125,18386.25,18267.490234375,18293.150390625,4339930000,17718.52546875,,0.0010402946257663803
2024-03-25,18277.060546875,18337.349609375,18189.279296875,18215.5390625,4636940000,17747.648671875,,-0.003401352937173363
2024-03-26,18210.5390625,18378.69921875,18207.880859375,18329.2890625,5144260000,17775.2010546875,,-0.00363961612997854
2024-03-27,18280.83984375,18344.08984375,18168.19921875,18338.189453125,4768930000,17804.2036328125,,0.003860444823117204
2024-03-28,18254.689453125,18308.3203125,18231.380859375,18263.41015625,5174450000,17834.5718359375,,-0.0014304808120695345
2024-04-01,18293.19921875,18391.580078125,18211.279296875,18280.8203125,4798390000,17860.7900390625,,0.0021095820733563198
2024-04-02,18121.779296875,18135.5703125,18002.26953125,18076.4296875,4710280000,17876.945625,,-0.009370691251167185
2024-04-03,18160.189453125,18238.669921875,18045.419921875,18054.439453125,5151500000,17893.541796875,,0.002119557667089822
2024-04-04,17878.779296875,18362.2890625,17875.75,18331.01953125,5368700000,17903.0331640625,,-0.01549599231750165
2024-04-05,18108.4609375,18202.9609375,17912.859375,17940.279296875,4578130000,17915.2163671875,,0.01284660640478652
2024-04-08,18100.189453125,18178.66015625,18050.689453125,18130.439453125,4386700000,17926.8803515625,,-0.00045677456541159955
2024-04-09,18169.900390625,18210.01953125,17973.0703125,18188.869140625,4869190000,17941.8581640625,,0.0038513926984318214
2024-04-10,18011.66015625,18040.830078125,17932.419921875,17957.9609375,5308250000,17950.1659765625,,-0.008708921401497927
2024-04-11,18307.98046875,18337.150390625,17998.25,18085.109375,4714750000,17966.7913671875,,0.016451582470990544
2024-04-12,18003.490234375,18166.490234375,17952.08984375,18117.669921875,4552740000,17984.1163671875,,-0.016631557745800274
2024-04-15,17706.830078125,18152.080078125,17676.349609375,18143.25,4910550000,17991.35875,,-0.016477924690600942
2024-04-16,17713.66015625,17817.73046875,17660.890625,17691.44921875,5001860000,17992.77734375,,0.0003857312740260799
2024-04-17,17493.619140625,17788.5390625,17459.5703125,17785.8203125,4991470000,17990.3889453125,,-0.012422108908268892
2024-04-18,17394.310546875,17590.810546875,17376.490234375,17514.76953125,4932540000,17986.820546875,,-0.005676846680592096
2024-04-19,17037.650390625,17362.279296875,16973.939453125,17334.7109375,5316010000,17972.4721484375,,-0.02050441466414299
2024-04-22,17210.890625,17305.150390625,17010.25,17161.109375,4616730000,17961.0265625,,0.010168082476344598
2024-04-23,17471.470703125,17513.310546875,17277.25,17297.240234375,4951670000,17951.2077734375,,0.015140417994783384
2024-04-24,17526.80078125,17653.66015625,17435.330078125,17613.66015625,4735870000,17944.0905859375,,0.0031668815445000664
2024-04-25,17430.5,17474.4609375,17172.419921875,17205.279296875,4743640000,17940.6921875,,-0.005494487125854763
2024-04-26,17718.30078125,17772.779296875,17533.080078125,17566.220703125,4694400000,17938.9055859375,,0.01651133250623915
2024-04-29,17782.720703125,17820.0,17671.029296875,17801.140625,4972520000,17937.6455859375,,0.003635784416933019
2024-04-30,17440.689453125,17768.869140625,17440.689453125,17720.349609375,5229400000,17932.739765625,,-0.019233910024796907
2024-05-01,17318.55078125,17667.859375,17284.369140625,17382.779296875,5277790000,17928.1887890625,,-0.007003087360925142
2024-05-02,17541.5390625,17575.80078125,17290.640625,17474.919921875,4901610000,17929.4413671875,,0.01287568943074735
2024-05-03,17890.80078125,17926.98046875,17784.779296875,17848.66015625,4887310000,17927.1633984375,,0.019910551605853533
2024-05-06,18093.5703125,18094.4609375,17937.279296875,17950.98046875,4460130000,17930.2826171875,,0.011333731437136452
2024-05-07,18091.44921875,18156.3203125,18061.609375,18106.330078125,5041870000,17933.445,,-0.00011722914346734559
2024-05-08,18085.009765625,18135.33984375,17987.69921875,17987.69921875,4530190000,17935.7241796875,,-0.0003559390431987497
2024-05-09,18113.4609375,18138.01953125,18012.619140625,18095.80078125,4505120000,17940.5033984375,,0.0015731908494225344
2024-05-10,18161.1796875,18247.609375,18099.73046875,18171.150390625,4402110000,17942.85,,0.002634435802448376
2024-05-13,18198.609375,18233.5,18147.5703125,18228.400390625,4452750000,17940.763984375,,0.002060972257532434
2024-05-14,18322.76953125,18339.580078125,18175.30078125,18187.509765625,7270240000,17942.689765625,,0.0068225079011017264
2024-05-15,18596.650390625,18607.529296875,18359.3203125,18412.810546875,8538990000,17956.665390625,,0.01494756886549764
2024-05-16,18557.9609375,18669.5,18553.30078125,18589.98046875,11932600000,17967.473203125,,-0.00208045278651392
2024-05-17,18546.23046875,18590.369140625,18462.25,18571.8203125,9587280000,17972.4380078125,,-0.0006320990107429036
2024-05-20,18674.189453125,18703.830078125,18549.83984375,18559.220703125,6861320000,17985.5528125,,0.006899460490939591
2024-05-21,18713.80078125,18721.1796875,18589.91015625,18603.990234375,6245090000,18000.7950390625,,0.002121180585879179
